,ax,ay,az
0,,,
1,-0.102,0.049,-0.891;
2,-0.109,0.053,-0.880;
3,-0.105,0.056,-0.870;
4,-0.09,0.056,-0.880;
5,-0.087,0.019,-0.891;
6,-0.094,0.045,-0.898;
7,-0.098,0.041,-0.908;
8,-0.098,0.03,-0.884;
9,-0.09,0.045,-0.877;
10,-0.094,0.053,-0.898;
11,-0.117,0.045,-0.887;
12,-0.105,0.038,-0.873;
13,-0.094,0.026,-0.884;
14,-0.102,0.034,-0.887;
15,-0.098,0.03,-0.887;
16,-0.109,0.041,-0.894;
17,-0.113,0.053,-0.887;
18,-0.109,0.041,-0.884;
19,-0.098,0.045,-0.873;
20,-0.102,0.034,-0.884;
21,-0.102,0.053,-0.898;
22,-0.113,0.068,-0.884;
23,-0.113,0.041,-0.870;
24,-0.102,0.03,-0.884;
25,-0.094,0.045,-0.887;
26,-0.102,0.038,-0.887;
27,-0.102,0.049,-0.894;
28,-0.113,0.064,-0.880;
29,-0.109,0.053,-0.884;
30,-0.098,0.049,-0.894;
31,-0.098,0.038,-0.884;
32,-0.09,0.041,-0.887;
33,-0.094,0.053,-0.887;
34,-0.09,0.045,-0.894;
35,-0.098,0.045,-0.887;
36,-0.098,0.045,-0.884;
37,-0.094,0.034,-0.887;
38,-0.094,0.049,-0.894;
39,-0.105,0.053,-0.880;
40,-0.109,0.045,-0.894;
41,-0.117,0.045,-0.880;
42,-0.105,0.045,-0.873;
43,-0.105,0.045,-0.880;
44,-0.09,0.045,-0.887;
45,-0.087,0.038,-0.891;
46,-0.102,0.038,-0.898;
47,-0.098,0.038,-0.887;
48,-0.094,0.03,-0.877;
49,-0.09,0.038,-0.887;
50,-0.102,0.034,-0.887;
51,-0.102,0.038,-0.891;
52,-0.113,0.041,-0.891;
53,-0.113,0.034,-0.877;
54,-0.087,0.019,-0.866;
55,-0.094,0.056,-0.898;
56,-0.09,0.075,-0.912;
57,-0.117,0.064,-0.898;
58,-0.098,0.056,-0.856;
59,-0.09,0.041,-0.880;
60,-0.09,0.049,-0.894;
61,-0.098,0.026,-0.894;
62,-0.098,0.011,-0.877;
63,-0.102,0.019,-0.884;
64,-0.098,0.019,-0.891;
65,-0.094,0.03,-0.898;
66,-0.083,0.041,-0.891;
67,-0.109,0.038,-0.870;
68,-0.094,0.041,-0.884;
69,-0.094,0.064,-0.898;
70,-0.098,0.064,-0.894;
71,-0.102,0.056,-0.901;
72,-0.087,0.026,-0.873;
73,-0.087,0.034,-0.894;
74,-0.132,0.06,-0.894;
75,-0.128,0.038,-0.873;
76,-0.124,0.034,-0.891;
77,-0.094,0.045,-0.877;
78,-0.109,0.045,-0.884;
79,-0.113,0.045,-0.891;
80,-0.109,0.045,-0.884;
81,-0.113,0.056,-0.901;
82,-0.124,0.045,-0.873;
83,-0.109,0.045,-0.894;
84,-0.105,0.049,-0.891;
85,-0.109,0.045,-0.891;
86,-0.113,0.045,-0.891;
87,-0.105,0.045,-0.884;
88,-0.109,0.049,-0.894;
89,-0.102,0.049,-0.887;
90,-0.105,0.049,-0.887;
91,-0.102,0.041,-0.894;
92,-0.102,0.045,-0.887;
93,-0.117,0.034,-0.884;
94,-0.105,0.041,-0.877;
95,-0.105,0.034,-0.877;
96,-0.094,0.049,-0.891;
97,-0.098,0.045,-0.898;
98,-0.098,0.041,-0.898;
99,-0.098,0.041,-0.884;
100,-0.109,0.049,-0.877;
101,-0.109,0.049,-0.880;
102,-0.087,0.049,-0.884;
103,-0.102,0.045,-0.884;
104,-0.09,0.049,-0.891;
105,-0.102,0.041,-0.898;
106,-0.098,0.045,-0.898;
107,-0.098,0.041,-0.873;
108,-0.083,0.045,-0.880;
109,-0.098,0.053,-0.894;
110,-0.09,0.03,-0.887;
111,-0.087,0.038,-0.891;
112,-0.083,0.034,-0.894;
113,-0.083,0.053,-0.884;
114,-0.09,0.056,-0.880;
115,-0.079,0.045,-0.891;
116,-0.072,0.041,-0.887;
117,-0.079,0.041,-0.887;
118,-0.075,0.034,-0.880;
119,-0.09,0.034,-0.898;
120,-0.087,0.045,-0.880;
121,-0.079,0.049,-0.898;
122,-0.075,0.045,-0.877;
123,-0.068,0.045,-0.894;
124,-0.072,0.038,-0.891;
125,-0.064,0.041,-0.891;
126,-0.056,0.034,-0.887;
127,-0.064,0.045,-0.884;
128,-0.056,0.038,-0.877;
129,-0.056,0.06,-0.894;
130,-0.053,0.049,-0.884;
131,-0.06,0.045,-0.894;
132,-0.072,0.049,-0.891;
133,-0.06,0.045,-0.894;
134,-0.053,0.056,-0.880;
135,-0.06,0.049,-0.887;
136,-0.056,0.06,-0.901;
137,-0.049,0.056,-0.880;
138,-0.045,0.045,-0.884;
139,-0.049,0.06,-0.901;
140,-0.041,0.053,-0.898;
141,-0.049,0.053,-0.880;
142,-0.038,0.056,-0.887;
143,-0.041,0.045,-0.880;
144,-0.045,0.049,-0.884;
145,-0.034,0.056,-0.915;
146,-0.049,0.038,-0.898;
147,-0.053,0.041,-0.898;
148,-0.038,0.045,-0.880;
149,-0.045,0.053,-0.884;
150,-0.034,0.064,-0.894;
151,-0.026,0.049,-0.884;
152,-0.026,0.053,-0.894;
153,-0.041,0.049,-0.894;
154,-0.049,0.056,-0.884;
155,-0.041,0.06,-0.891;
156,-0.045,0.056,-0.884;
157,-0.03,0.041,-0.880;
158,-0.03,0.049,-0.908;
159,-0.026,0.049,-0.873;
160,-0.041,0.056,-0.894;
161,-0.041,0.049,-0.894;
162,-0.041,0.045,-0.898;
163,-0.053,0.049,-0.884;
164,-0.034,0.045,-0.880;
165,-0.045,0.06,-0.880;
166,-0.015,0.064,-0.873;
167,-0.019,0.053,-0.887;
168,-0.03,0.056,-0.884;
169,-0.03,0.053,-0.880;
170,-0.034,0.056,-0.884;
171,-0.026,0.064,-0.894;
172,-0.023,0.053,-0.887;
173,-0.034,0.056,-0.880;
174,-0.023,0.053,-0.905;
175,-0.038,0.049,-0.894;
176,-0.038,0.064,-0.891;
177,-0.038,0.064,-0.884;
178,-0.026,0.056,-0.894;
179,-0.03,0.06,-0.887;
180,-0.03,0.053,-0.880;
181,-0.038,0.064,-0.901;
182,-0.034,0.068,-0.901;
183,-0.038,0.053,-0.891;
184,-0.041,0.06,-0.870;
185,-0.026,0.064,-0.887;
186,-0.026,0.053,-0.873;
187,-0.038,0.068,-0.901;
188,-0.038,0.053,-0.877;
189,-0.03,0.064,-0.894;
190,-0.041,0.064,-0.887;
191,-0.038,0.053,-0.887;
192,-0.041,0.064,-0.891;
193,-0.03,0.06,-0.884;
194,-0.041,0.064,-0.894;
195,-0.041,0.06,-0.887;
196,-0.041,0.068,-0.894;
197,-0.045,0.068,-0.901;
198,-0.045,0.06,-0.891;
199,-0.045,0.053,-0.877;
200,-0.045,0.064,-0.887;
201,-0.045,0.06,-0.891;
202,-0.041,0.06,-0.884;
203,-0.053,0.064,-0.880;
204,-0.041,0.056,-0.884;
205,-0.053,0.06,-0.887;
206,-0.045,0.056,-0.884;
207,-0.049,0.045,-0.873;
