,ax,ay,az
0,,,
1,0.203,0.019,-0.884
2,0.207,0.019,-0.88
3,0.203,0.011,-0.887
4,0.203,0.011,-0.887
5,0.207,0.004,-0.884
6,0.207,0.011,-0.887
7,0.203,0.019,-0.894
8,0.215,0.023,-0.877
9,0.199,0.03,-0.884
10,0.207,0.015,-0.866
11,0.199,0.015,-0.877
12,0.215,0.019,-0.887
13,0.215,0.011,-0.887
14,0.211,0.015,-0.877
15,0.199,0.019,-0.88
16,0.207,0.034,-0.887
17,0.207,0.019,-0.87
18,0.203,0.026,-0.887
19,0.203,0.015,-0.887
20,0.203,0.038,-0.88
21,0.215,0.03,-0.877
22,0.207,0.015,-0.891
23,0.199,0.023,-0.863
24,0.203,0.026,-0.877
25,0.211,0.015,-0.887
26,0.211,0.019,-0.884
27,0.203,0.019,-0.884
28,0.207,0.019,-0.88
29,0.211,0.015,-0.894
30,0.207,0.015,-0.88
31,0.211,0.023,-0.891
32,0.215,0.015,-0.894
33,0.215,0.023,-0.891
34,0.203,0.015,-0.891
35,0.199,0.019,-0.891
36,0.199,0.019,-0.88
37,0.203,0.026,-0.887
38,0.188,0.026,-0.877
39,0.192,0.023,-0.887
40,0.184,0.015,-0.891
41,0.184,0.023,-0.891
42,0.192,0.026,-0.887
43,0.188,0.015,-0.891
44,0.173,0.019,-0.887
45,0.181,0.041,-0.88
46,0.154,0.023,-0.88
47,0.166,0.03,-0.877
48,0.162,0.026,-0.891
49,0.162,0.03,-0.894
50,0.177,0.023,-0.894
51,0.158,0.011,-0.88
52,0.143,0.023,-0.891
53,0.143,0.026,-0.908
54,0.143,0.034,-0.891
55,0.143,0.019,-0.898
56,0.132,0.023,-0.898
57,0.143,0.038,-0.894
58,0.143,0.034,-0.894
59,0.143,0.034,-0.901
60,0.132,0.034,-0.901
61,0.136,0.023,-0.898
62,0.143,0.03,-0.901
63,0.136,0.03,-0.894
64,0.132,0.034,-0.894
65,0.136,0.034,-0.891
66,0.124,0.034,-0.891
67,0.132,0.03,-0.887
68,0.132,0.03,-0.894
69,0.128,0.034,-0.887
70,0.136,0.038,-0.887
71,0.136,0.038,-0.894
72,0.132,0.041,-0.891
73,0.132,0.034,-0.894
74,0.12,0.038,-0.898
75,0.139,0.034,-0.898
76,0.117,0.034,-0.884
77,0.109,0.034,-0.898
78,0.124,0.038,-0.894
79,0.109,0.049,-0.894
80,0.109,0.038,-0.908
81,0.136,0.053,-0.88
82,0.124,0.038,-0.901
83,0.124,0.038,-0.891
84,0.102,0.03,-0.887
85,0.117,0.03,-0.901
86,0.117,0.038,-0.898
87,0.113,0.038,-0.894
88,0.109,0.038,-0.891
89,0.124,0.038,-0.891
90,0.113,0.038,-0.901
91,0.113,0.041,-0.891
92,0.102,0.034,-0.901
93,0.117,0.045,-0.905
94,0.109,0.038,-0.894
95,0.113,0.041,-0.901
96,0.117,0.03,-0.901
97,0.105,0.041,-0.901
98,0.109,0.038,-0.894
99,0.109,0.041,-0.894
100,0.109,0.041,-0.894
101,0.109,0.034,-0.894
102,0.113,0.038,-0.898
103,0.117,0.041,-0.894
104,0.124,0.041,-0.908
105,0.12,0.041,-0.887
106,0.128,0.034,-0.898
107,0.12,0.034,-0.898
108,0.128,0.034,-0.891
109,0.117,0.034,-0.908
110,0.136,0.038,-0.887
111,0.132,0.034,-0.898
112,0.124,0.041,-0.898
113,0.139,0.03,-0.88
114,0.132,0.034,-0.908
115,0.143,0.038,-0.891
116,0.139,0.023,-0.887
117,0.128,0.023,-0.887
118,0.128,0.023,-0.887
119,0.151,0.03,-0.898
120,0.151,0.034,-0.894
121,0.151,0.026,-0.891
122,0.151,0.026,-0.891
123,0.151,0.026,-0.898
124,0.158,0.023,-0.894
125,0.158,0.023,-0.901
126,0.158,0.023,-0.887
127,0.154,0.008,-0.891
128,0.166,0.019,-0.891
129,0.169,0.023,-0.891
130,0.173,0.023,-0.908
131,0.177,0.023,-0.891
132,0.173,0.026,-0.884
133,0.169,0.019,-0.891
134,0.184,0.023,-0.887
135,0.184,0.019,-0.884
136,0.184,0.026,-0.901
137,0.211,0.034,-0.891
138,0.199,0.011,-0.884
139,0.196,0.026,-0.887
140,0.203,0.019,-0.884
141,0.203,0.038,-0.894
142,0.215,0.019,-0.891
143,0.207,0.015,-0.884
144,0.203,0.023,-0.894
145,0.211,0.015,-0.884
146,0.218,0.019,-0.88
147,0.203,0.023,-0.884
148,0.218,0.019,-0.873
149,0.203,0.015,-0.887
150,0.211,0.015,-0.891
151,0.207,0.015,-0.884
152,0.207,0.019,-0.887
153,0.211,0.015,-0.884
154,0.199,0.023,-0.884
155,0.207,0.015,-0.887
156,0.215,0.023,-0.877
157,0.207,0.023,-0.887
158,0.207,0.015,-0.88
159,0.207,0.023,-0.877
160,0.207,0.015,-0.884
161,0.199,0.015,-0.887
162,0.207,0.019,-0.891
163,0.199,0.019,-0.877
164,0.199,0.015,-0.891
165,0.207,0.019,-0.88
166,0.203,0.026,-0.877
167,0.207,0.019,-0.884
168,0.199,0.015,-0.88
169,0.207,0.015,-0.894
170,0.211,0.011,-0.887
171,0.207,0.015,-0.884
172,0.203,0.019,-0.887
173,0.203,0.019,-0.88
174,0.203,0.015,-0.884
175,0.203,0.019,-0.884
176,0.207,0.019,-0.887
177,0.207,0.019,-0.887
178,0.199,0.019,-0.88
179,0.211,0.015,-0.891
180,0.207,0.011,-0.884
181,0.196,0.023,-0.877
182,0.215,0.034,-0.877
183,0.203,0.019,-0.884
184,0.207,0.011,-0.884
185,0.211,0.026,-0.877
186,0.196,0.011,-0.877
187,0.199,0.019,-0.877
188,0.203,0.019,-0.884
189,0.192,0.008,-0.884
190,0.196,0.019,-0.88
191,0.207,0.015,-0.887
192,0.203,0.015,-0.887
193,0.199,0.023,-0.894
194,0.199,0.019,-0.88
195,0.196,0.015,-0.891
196,0.203,0.019,-0.866
197,0.192,0.008,-0.887
198,0.199,0.023,-0.887
199,0.207,0.019,-0.887
200,0.207,0.019,-0.887
201,0.203,0.015,-0.884
202,0.203,0.015,-0.88
203,0.199,0.015,-0.887
204,0.199,0.008,-0.88
205,0.199,0.011,-0.887
206,0.196,0.019,-0.887
207,0.203,0.015,-0.884
208,0.196,0.015,-0.88
209,0.207,0.023,-0.884
210,0.203,0.019,-0.884
